timestamp	iteration	invariant_name	outcome	commit_hash	sub_tests	notes
2026-04-15	0	norm_roundtrip_all_systems	test-added	0574071		smoke-test; extends test_units.py:65 from 2 systems to 4 + adds compound-factor round-trip
2026-04-15	1	compute_dispatch_magnitudes	test-added	3136f9b		backlog #2a; algebraic identity compute("|X|")² == sum(Xi²) for all 6 magnitude recipes; registry-drift guard caught missing |vort|
2026-04-15	2	compute_dispatch_plasma_params	test-added	83fb925		backlog #2b; β = 2P/B², v_A = |B|/√ρ_m, M_A = |V|/v_A — closed-form identities from equations.md § 5
2026-04-16	3	div_curl_identity	test-added	218d9d1		backlog #3; ∇·(∇×F) = 0 bit-exactly (not just truncation) — np.gradient linear ops on distinct axes commute everywhere, not only interior
2026-04-16	4	transform_associativity	test-added	038371d		backlog #4; compose((T1,T2),T3) == compose(T1,(T2,T3)) to float64 roundoff + point-application parity
2026-04-16	5	macro_charge_identity	test-added	7b64121		backlog #5; macro_charge == species_charge × weight bit-exact + fail-loud when either is missing (Step 25b contract)
2026-04-16	6	zarr_float32_metadata_fidelity	test-added	d17f619		backlog #6; float32 downcast drops field precision as expected but Normalization/StaggerInfo/species scalars/PhysicsParams/grid.dt round-trip bit-exact
2026-04-16	7	relativistic_nonrel_limit	bug-fixed	ae23f0d		backlog #7; kinetic_energy_density used (γ−1)ρc² → catastrophic cancellation at v≪c (γ rounds to 1). Rewrote as γ²v²ρ/(γ+1). Also fixed subnormal-underflow in tests/strategies.py rotations() where sub-1e-154 axis components broke np.linalg.norm orthogonality. Enthalpy excluded (rest-mass c² term by design — equations.md §2).
2026-04-16	8	selection_keyerror	test-added	896b797		backlog #8; resolve_key/getitem/select_fields/compute all raise KeyError on unknown names + error message includes difflib close-match suggestion (CLAUDE.md "fail loud on unmatched names")
2026-04-16	9	vector_group_shorthand	test-added	46678ef		backlog #9; fields=["B"] == fields=["B1","B2","B3"]; idempotent; per-species EF_s0 expansion; Cartesian alias "Bx" does NOT re-expand; unknown prefix + strict_fields raises
2026-04-16	10	pressure_rotation_invariance	test-added	2409457		backlog exhausted — fresh invariant: Tr(P), P_par, P_perp all invariant under SO(3) rotations (parallel_pressure docstring + transforms.py:457 + equations.md §4 [^9]); plus P_iso = (P_par + 2·P_perp)/3 algebraic identity
2026-04-16	11	thermodynamic_identities	test-added	698948b		fresh invariant #2 — 4 algebraic identities linking enthalpy/internal_energy/thermal_energy_density/sound_speed recipes (equations.md §2). Caught a test-spec error: e_th = ρ·e_int, not (γ-1)·ρ·e_int (fixed before commit).
2026-04-16	12	rotation_roundtrip	test-added	f4b0677		fresh invariant #3 — |R·v|² = |v|², R^T(Rv) = v, tensor R^T(RPR^T)R = P, Frobenius ‖P‖²_F invariant. Complements iteration-10 pressure-trace invariance with 2nd (Frobenius) tensor invariant + vector version.
2026-04-16	13	operator_linearity	test-added+strategy-shrink	359b716		fresh invariant #4 — grad/div/curl linearity + curl(grad f)=0 bit-exact (dual to iter-3 div(curl F)=0). Strategy shrink: _coefficient() excluded subnormals after Hypothesis hit a β~2e-313 that made adaptive atol meaningless. Isolated shrink (previous was iter-7 Rodrigues); <2 consecutive so loop continues per contract.
2026-04-16	14	characteristic_scale_identities	test-added	74fcd8f		fresh invariant #5 — d·ω_p = c, r·ω_c = v_th, λ_D = v_th/ω_p, λ_D·ω_p = v_th. Four cross-recipe identities linking skin_depth/plasma_frequency/gyroradius/gyrofrequency/debye_length/thermal_speed (equations.md §5).
2026-04-16	15	cross_product_and_stability	test-added	0400c74		fresh invariant #6 — Poynting anti-commutativity E×B = -(B×E), S·B = 0 (perpendicularity), firehose = -1 at isotropy, mirror = -B²/(2P) at isotropy. equations.md §3 (Poynting) + §9 footnote [^14] (firehose/mirror).
